GT_Lat,GT_Lon,GT_Depth,Est_Lat,Est_Lon,Est_depth
39.83715289244791,-70.90646243748567,10.0,39.83765890893652,-70.90600218451094,nan
39.83715289244791,-70.90615455366671,10.0,39.837226746422836,-70.90596282655873,nan
39.83715289244791,-70.90584666984775,10.0,39.83689052911932,-70.90623644852383,nan
39.83715289244791,-70.90553878602879,10.0,39.83698922759698,-70.90559130147645,nan
39.83715289244791,-70.90523090220981,10.0,39.83746176948783,-70.90490779198406,nan
39.83715289244791,-70.90492301839085,10.0,39.83793626224695,-70.90422146065299,nan
39.83715289244791,-70.90461513457188,10.0,39.837012604080435,-70.90468323560421,nan
39.83715289244791,-70.90430725075292,10.0,39.837438689259145,-70.90414734606024,nan
39.83715289244791,-70.90399936693396,10.0,39.83701830196129,-70.904095239161,nan
39.83715289244791,-70.903691483115,10.0,39.83713206169793,-70.90361675307584,nan
39.83715289244791,-70.90338359929602,10.0,39.8375073254707,-70.90322097883688,nan
39.83715289244791,-70.90307571547706,10.0,39.83711595505982,-70.90298746888398,nan
39.83715289244791,-70.9027678316581,10.0,39.83748433529661,-70.90265152651749,nan
39.83715289244791,-70.90245994783913,10.0,39.83693684541596,-70.9026888956939,nan
39.83715289244791,-70.90215206402017,10.0,39.83766539826231,-70.90209598135125,nan
39.83715289244791,-70.90184418020121,10.0,39.83741256609233,-70.90178828261266,nan
39.83715289244791,-70.90153629638223,10.0,39.83733044995977,-70.90147768486118,nan
39.83715289244791,-70.90122841256327,10.0,39.8370208251762,-70.90141381589258,nan
39.83715289244791,-70.90092052874431,10.0,39.837238571582034,-70.90072217093025,nan
39.83715289244791,-70.90061264492535,10.0,39.83678605915812,-70.90067211188244,nan
39.83715289244791,-70.90030476110638,10.0,39.837625835307136,-70.90035849340182,nan
39.83715289244791,-70.89999687728742,10.0,39.8374140123815,-70.90002884064133,nan
39.83715289244791,-70.89968899346846,10.0,39.83733044995977,-70.89974760498951,nan
39.83715289244791,-70.89938110964948,10.0,39.83692819754828,-70.89950331094661,nan
39.83715289244791,-70.89907322583052,10.0,39.83703078265197,-70.89917262448304,nan
39.83715289244791,-70.89876534201156,10.0,39.83693684541596,-70.89853639415679,nan
39.83715289244791,-70.8984574581926,10.0,39.83693684541596,-70.89853639415679,nan
39.83715289244791,-70.89814957437363,10.0,39.83667064339762,-70.8978317214025,nan
39.83715289244791,-70.89784169055467,10.0,39.83667064339762,-70.8978317214025,nan
39.83715289244791,-70.8975338067357,10.0,39.83713206169793,-70.89760853677484,nan
39.83715289244791,-70.89722592291673,10.0,39.83738340024515,-70.89737070941554,nan
39.83715289244791,-70.89691803909777,10.0,39.83696157256726,-70.8968760409998,nan
39.83715289244791,-70.89661015527881,10.0,39.837012604080435,-70.89654205424648,nan
39.83715289244791,-70.89630227145985,10.0,39.837012604080435,-70.89654205424648,nan
39.83715289244791,-70.89599438764088,10.0,39.83746176948783,-70.89631749786663,nan
39.83715289244791,-70.8956865038219,10.0,39.83698922759698,-70.89563398837424,nan
39.83715289244791,-70.89537862000294,10.0,39.83781201641001,-70.89620376471906,nan
39.83715289244791,-70.89507073618398,10.0,39.83660428586773,-70.89426134753053,nan
39.83715289244791,-70.89476285236502,10.0,39.83660428586773,-70.89426134753053,nan
39.83738929120689,-70.90646243748567,10.0,39.83765890893652,-70.90600218451094,nan
39.83738929120689,-70.90615455366671,10.0,39.837226746422836,-70.90596282655873,nan
39.83738929120689,-70.90584666984775,10.0,39.838058456288394,-70.90528596048007,nan
39.83738929120689,-70.90553878602879,10.0,39.83754600292358,-70.90544935994272,nan
39.83738929120689,-70.90523090220981,10.0,39.83698922759698,-70.90559130147645,nan
39.83738929120689,-70.90492301839085,10.0,39.83771678273437,-70.90453892738587,nan
39.83738929120689,-70.90461513457188,10.0,39.83727054220586,-70.90455428165825,nan
39.83738929120689,-70.90430725075292,10.0,39.837438689259145,-70.90414734606024,nan
39.83738929120689,-70.90399936693396,10.0,39.83696157256726,-70.90434924885089,nan
39.83738929120689,-70.903691483115,10.0,39.8371629034887,-70.9039315282569,nan
39.83738929120689,-70.90338359929602,10.0,39.83713206169793,-70.90361675307584,nan
39.83738929120689,-70.90307571547706,10.0,39.8375073254707,-70.90322097883688,nan
39.83738929120689,-70.9027678316581,10.0,39.83711595505982,-70.90298746888398,nan
39.83738929120689,-70.90245994783913,10.0,39.83693684541596,-70.9026888956939,nan
39.83738929120689,-70.90215206402017,10.0,39.83766539826231,-70.90209598135125,nan
39.83738929120689,-70.90184418020121,10.0,39.83741256609233,-70.90178828261266,nan
39.83738929120689,-70.90153629638223,10.0,39.83733044995977,-70.90147768486118,nan
39.83738929120689,-70.90122841256327,10.0,39.8376747007672,-70.90126861607969,nan
39.83738929120689,-70.90092052874431,10.0,39.83724297349942,-70.9008315634946,nan
39.83738929120689,-70.90061264492535,10.0,39.83773114123958,-70.90061264492535,nan
39.83738929120689,-70.90030476110638,10.0,39.83750995086332,-70.90030055797146,nan
39.83738929120689,-70.89999687728742,10.0,39.8374140123815,-70.90002884064133,nan
39.83738929120689,-70.89968899346846,10.0,39.83773929939175,-70.89966326809882,nan
39.83738929120689,-70.89938110964948,10.0,39.83741256609233,-70.89943700723803,nan
39.83738929120689,-70.89907322583052,10.0,39.83766539826231,-70.89912930849944,nan
39.83738929120689,-70.89876534201156,10.0,39.83693684541596,-70.89853639415679,nan
39.83738929120689,-70.8984574581926,10.0,39.83711595505982,-70.89823782096671,nan
39.83738929120689,-70.89814957437363,10.0,39.83782013115811,-70.89833421345004,nan
39.83738929120689,-70.89784169055467,10.0,39.83713206169793,-70.89760853677484,nan
39.83738929120689,-70.8975338067357,10.0,39.83725288490326,-70.89721765682845,nan
39.83738929120689,-70.89722592291673,10.0,39.837438689259145,-70.89707794379044,nan
39.83738929120689,-70.89691803909777,10.0,39.83765244968214,-70.8971684013801,nan
39.83738929120689,-70.89661015527881,10.0,39.83746176948783,-70.89631749786663,nan
39.83738929120689,-70.89630227145985,10.0,39.836594867602614,-70.89579101509042,nan
39.83738929120689,-70.89599438764088,10.0,39.83781201641001,-70.89620376471906,nan
39.83738929120689,-70.8956865038219,10.0,39.83756150944778,-70.89603029014208,nan
39.83738929120689,-70.89537862000294,10.0,39.837226746422836,-70.89526246329196,nan
39.83738929120689,-70.89507073618398,10.0,39.83765890893652,-70.89522310533975,nan
39.83738929120689,-70.89476285236502,10.0,39.83765890893652,-70.89522310533975,nan
39.83762568996587,-70.90646243748567,10.0,39.837953188337885,-70.90626060631125,nan
39.83762568996587,-70.90615455366671,10.0,39.83765890893652,-70.90600218451094,nan
39.83762568996587,-70.90584666984775,10.0,39.838058456288394,-70.90528596048007,nan
39.83762568996587,-70.90553878602879,10.0,39.83845396182503,-70.90457698176112,nan
39.83762568996587,-70.90523090220981,10.0,39.83756150944778,-70.90519499970861,nan
39.83762568996587,-70.90492301839085,10.0,39.83746176948783,-70.90490779198406,nan
39.83762568996587,-70.90461513457188,10.0,39.83746176948783,-70.90490779198406,nan
39.83762568996587,-70.90430725075292,10.0,39.837438689259145,-70.90414734606024,nan
39.83762568996587,-70.90399936693396,10.0,39.837438689259145,-70.90414734606024,nan
39.83762568996587,-70.903691483115,10.0,39.83754090606165,-70.90350357189939,nan
39.83762568996587,-70.90338359929602,10.0,39.83772654579248,-70.90345218089344,nan
39.83762568996587,-70.90307571547706,10.0,39.8375073254707,-70.90322097883688,nan
39.83762568996587,-70.9027678316581,10.0,39.83748433529661,-70.90265152651749,nan
39.83762568996587,-70.90245994783913,10.0,39.83748433529661,-70.90265152651749,nan
39.83762568996587,-70.90215206402017,10.0,39.83766539826231,-70.90209598135125,nan
39.83762568996587,-70.90184418020121,10.0,39.83741256609233,-70.90178828261266,nan
39.83762568996587,-70.90153629638223,10.0,39.83745089858456,-70.9014045345688,nan
39.83762568996587,-70.90122841256327,10.0,39.8376747007672,-70.90126861607969,nan
39.83762568996587,-70.90092052874431,10.0,39.837625835307136,-70.90086679644885,nan
39.83762568996587,-70.90061264492535,10.0,39.83784227448101,-70.90046670030411,nan
39.83762568996587,-70.90030476110638,10.0,39.837625835307136,-70.90035849340182,nan
