distance,mean_amplitude_first_arrival,maximum
1,0.9296441674232483,0.9296441674232483
11,0.08959151059389114,0.08959151059389114
21,0.04673987999558449,0.04673987999558449
31,0.03146125003695488,0.03146125003695488
41,0.023620551452040672,0.023620551452040672
51,0.018849944695830345,0.018849944695830345
61,0.01564130000770092,0.01564130000770092
71,0.013335434719920158,0.013335434719920158
81,0.011598377488553524,0.011598377488553524
91,0.010242731310427189,0.010242731310427189
101,0.009155339561402798,0.009155339561402798
111,0.008263717405498028,0.008263717405498028
121,0.007519373204559088,0.007519373204559088
131,0.002508346224203706,0.004380255471915007
141,0.006347246002405882,0.006347246002405882
151,0.0045324573293328285,0.0045324573293328285
161,0.0006008775089867413,0.003675274085253477
171,0.004051323980093002,0.004051323980093002
181,0.003852756228297949,0.003852756228297949
191,0.003676327643916011,0.003676327643916011
201,0.0035187355242669582,0.0035187355242669582
211,0.0033773030154407024,0.0033773030154407024
221,0.0032498373184353113,0.0032498373184353113
231,0.003134524915367365,0.003134524915367365
241,0.003029854502528906,0.003029854502528906
251,0.002934554126113653,0.002934554126113653
261,0.0028475462459027767,0.0028521826025098562
271,0.002767914906144142,0.002801042515784502
281,0.002694872673600912,0.002750054933130741
291,0.0026277387514710426,0.0026277387514710426
301,0.0014390944270417094,0.0026526348665356636
311,0.002508921315893531,0.002605288289487362
321,0.0024562757462263107,0.0025589934084564447
331,0.0011680768802762032,0.0025140466168522835
341,0.002362524624913931,0.0024702807422727346
351,0.0023207622580230236,0.002426549093797803
361,0.0009298347285948694,0.0023850928992033005
371,0.0022460881154984236,0.002344878390431404
381,0.0007853929419070482,0.002304659690707922
391,0.0007168251322582364,0.0020915749482810497
401,0.0021528888028115034,0.002228751312941313
411,0.0005861074896529317,0.0021919116843491793
421,0.0021012132056057453,0.002156000817194581
431,0.002078075660392642,0.0021212943829596043
441,0.0004038953920826316,0.0020874368492513895
451,0.002036603167653084,0.002054814714938402
461,0.0002902589621953666,0.0019290400668978691
471,0.0002354920725338161,0.001992669655010104
481,0.001984903123229742,0.001984903123229742
491,0.00012964580673724413,0.0019338857382535934
501,7.841875776648521e-05,0.001905855373479426
511,2.8233758712303825e-05,0.0019156035268679261
521,0.0017828952986747026,0.0018517032731324434
531,0.0007381130126304924,0.0018262036610394716
541,0.001788023510016501,0.0017998266266658902
551,0.0017934315837919712,0.0017934315837919712
561,0.0005910490872338414,0.0017126098973676562
571,0.0018088705837726593,0.0018088705837726593
581,0.0005033498746342957,0.0017044690903276205
591,0.0004620462714228779,0.0013673515059053898
601,0.0018412456847727299,0.0018412456847727299
611,0.0003838216362055391,0.0015244963578879833
621,0.001867603394202888,0.001867603394202888
631,0.00031067983945831656,0.0015968777006492019
641,0.0002757741021923721,0.001578127616085112
651,0.0016951652942225337,0.0016951652942225337
661,0.00020889843290206045,0.0015401096316054463
671,0.00017679335724096745,0.0015228866832330823
681,0.00014549745537806302,0.001506348722614348
691,0.00011495775106595829,0.0014881212264299393
