mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver
636018800,2025-01-01 01:40:40,-74.16449,37.99865,11.6,15.4,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:43:31,-74.16153,38.0075,11.5,14.2,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:41:51,-74.16323,38.00233,11.6,15.1,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:47:01,-74.15787,38.01838,11.6,14.5,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:39:21,-74.16593,37.99449,11.6,14.9,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:44:51,-74.16011,38.01169,11.5,14.9,16,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:49:30,-74.15526,38.02617,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:50:41,-74.15403,38.02986,11.6,14.5,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:51:50,-74.15287,38.0334,11.6,14.7,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:48:11,-74.15664,38.02209,11.5,14.8,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:53:22,-74.15123,38.03817,11.6,15.1,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:55:01,-74.14948,38.0433,11.6,14.8,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:56:11,-74.14824,38.04695,11.6,14.9,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:00:10,-74.14395,38.05939,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:57:20,-74.14701,38.05059,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 01:59:41,-74.14446,38.05788,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:04:51,-74.13897,38.07401,11.6,15.2,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:06:01,-74.13769,38.07771,11.6,15.2,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:03:31,-74.14038,38.06989,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:07:12,-74.1364,38.08141,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:08:22,-74.13515,38.08507,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:10:41,-74.13261,38.0923,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:11:50,-74.13135,38.09595,11.6,15.1,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:15:21,-74.12752,38.10684,11.6,15.2,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:13:02,-74.13006,38.09964,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:14:11,-74.12876,38.1033,11.6,15.7,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:16:32,-74.12622,38.11053,11.6,15.4,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:17:41,-74.12491,38.11423,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:18:51,-74.12363,38.11787,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:22:31,-74.11959,38.12928,11.6,15.7,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:21:20,-74.12091,38.12559,11.6,15.5,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:20:12,-74.12217,38.12203,11.6,15.0,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:24:51,-74.11703,38.13658,11.6,15.4,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:27:20,-74.11431,38.1443,11.6,15.4,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:26:10,-74.11559,38.14067,11.6,15.7,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:23:41,-74.11833,38.13287,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:28:31,-74.11304,38.14796,11.6,15.4,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:30:51,-74.1104,38.15527,11.6,15.5,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:32:02,-74.10913,38.15886,11.6,15.8,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:33:10,-74.10784,38.1625,11.6,15.7,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:34:21,-74.10652,38.16617,11.6,15.6,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:38:01,-74.10247,38.17759,11.6,15.4,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:36:52,-74.10377,38.17395,11.6,15.5,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:35:31,-74.10523,38.16979,11.6,15.3,15,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:40:30,-74.09965,38.18524,11.6,18.1,19,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:39:21,-74.101,38.18173,11.5,15.1,16,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:42:51,-74.09642,38.19237,11.6,19.6,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:44:02,-74.09486,38.196,11.6,18.3,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:46:30,-74.0916,38.20361,11.6,18.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:47:41,-74.09001,38.20724,11.6,19.0,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:45:11,-74.0934,38.19946,11.6,18.0,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:49:01,-74.08827,38.21128,11.6,18.5,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:50:11,-74.08675,38.21482,11.6,18.4,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:51:31,-74.08496,38.21892,11.7,18.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:53:01,-74.08293,38.22358,11.6,18.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:54:12,-74.08132,38.22723,11.7,18.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:55:31,-74.07955,38.23127,11.7,18.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:00:01,-74.07347,38.2451,11.6,18.8,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:58:31,-74.07549,38.24051,11.7,18.8,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:01:11,-74.07188,38.24873,11.6,18.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 02:59:32,-74.07412,38.24362,11.7,18.8,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:20:31,-74.04583,38.30763,11.6,19.7,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:21:32,-74.04442,38.31073,11.6,19.6,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:24:42,-74.04001,38.32037,11.6,19.7,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:26:11,-74.03789,38.32492,11.6,19.6,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:23:11,-74.04211,38.31581,11.6,19.5,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:32:11,-74.02945,38.34312,11.7,19.6,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:27:21,-74.03628,38.32842,11.6,19.5,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:28:31,-74.03463,38.33196,11.6,20.1,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:33:50,-74.0272,38.34821,11.5,17.0,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:35:01,-74.02602,38.35184,11.3,13.3,11,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:37:22,-74.02376,38.35907,11.4,13.8,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:40:22,-74.02077,38.36828,11.3,13.9,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:43:42,-74.01758,38.37852,11.4,13.6,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:49:51,-74.01149,38.39737,11.4,14.4,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:44:50,-74.01645,38.38207,11.3,13.8,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:53:31,-74.00759,38.40859,11.2,15.5,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:54:32,-74.0065,38.41166,11.2,15.7,13,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:51:00,-74.01025,38.40098,11.4,15.2,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 03:56:52,-74.00399,38.41862,11.2,15.7,12,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:01:31,-73.99907,38.43262,11.0,13.5,9,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:06:51,-73.99439,38.44858,11.0,12.5,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:08:32,-73.99296,38.45363,11.0,12.5,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:09:41,-73.99197,38.45713,11.0,12.1,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:10:51,-73.99104,38.46054,11.0,11.9,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:16:01,-73.98675,38.47616,11.0,12.0,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:14:42,-73.98783,38.47218,11.0,12.0,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:17:11,-73.98579,38.4797,11.1,11.8,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:18:22,-73.98482,38.48329,11.1,11.9,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 00:38:21,-74.24196,37.80788,11.3,16.9,18,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:19:32,-73.98386,38.48674,11.1,12.3,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:20:41,-73.98285,38.49032,11.1,12.4,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:21:51,-73.98185,38.49386,11.1,12.5,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
